place_id,osm_id,name,alt_names,lat,lon,address,province_code,district_code,ward_code,categories,subcategories,tags,verified,last_updated,source,popularityScore,rating
HN-OSM-0001,N104770283,Cửa Hàng Bò Nầm Nướng,,21.0390983,105.8480778,"34, Hàng Giấy",HN,,,food_court,,,False,2025-11-25,osm,,
HN-OSM-0002,N310727632,Cửa Hàng Bánh Tôm Hồ Tây,Bánh tôm Hồ Tây,21.0473212,105.8376261,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-0003,N335641430,Khách Sạn Đức Thái,,21.0340035,105.8471444,,HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-0004,N422416741,Cà Phê Cây Bàng Đổ,,21.0273274,105.8220368,,HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-0005,N423736651,Cà Phê Kafa,,21.0378611,105.8010007,"118, Đường Nguyễn Khánh Toàn, Cau Giay",HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-0006,N428403811,Bãi Đỗ Xe Ngoài Trời,,21.0419521,105.8163952,,HN,,,parking,,,False,2025-11-25,osm,,
HN-OSM-0007,N442030353,Nhà Hàng Chay Phương Nam,,21.0222319,105.84695,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-0008,N442030367,Nhà hàng Nam Phương,,21.0217552,105.8563856,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-0009,N442030389,Nha Hang Little Italian,,21.0169539,105.852831,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-0010,N442031761,Nha Hang Indochine,,21.0265868,105.8430053,Nam Ngư,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-0011,N442031782,Khách Sạn Prince,,21.0273109,105.8435309,,HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-0012,N442033041,Học Viện Không Quân,,21.000667,105.827072,,HN,,,school,,,False,2025-11-25,osm,,
HN-OSM-0013,N442033049,Somerset Grand Hanoi,,21.0258326,105.8463672,"49, Phố Hai Bà Trưng, Hoàn Kiếm",HN,HK,,hotel,,,False,2025-11-25,osm,,
HN-OSM-0014,N442910045,Cà Phê Big One,,21.0098613,105.8476486,,HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-0015,N442913494,KFC,,21.0109485,105.8114367,,HN,,,fast_food,fried_chicken,,False,2025-11-25,osm,,
HN-OSM-0016,N442977325,Rạp Phim CGV,CGV Cinema;rạp chiếu phim CGV,21.0111297,105.8494092,,HN,,,cinema,,,False,2025-11-25,osm,,
HN-OSM-0017,N442977691,Highlands Coffee,Highlands Coffee,21.0113724,105.8495887,,HN,,,cafe,coffee_shop;vietnamese,,False,2025-11-25,osm,,
HN-OSM-0018,N443000681,Buffet Sen Tây Hồ,Sen Tây Hồ,21.0741493,105.8154687,,HN,,,restaurant,,,False,2025-11-25,osm,,
